training error,validation error,lambda,dropout prob
0.95808333381,0.965041666667,0.001813057194276204,0.013774502184578596
0.95408333381,0.9385625,0.0009199041064348547,0.11136813885784642
0.960916666826,0.9635,0.004125701805363165,0.019477663825799796
0.95233333381,0.934208333333,0.01848919207878212,0.10569541673816439
0.959999999841,0.957729166667,0.00015441883633437867,0.046565656104886485
0.948583333015,0.937104166667,0.02545947763033459,0.08762061102739323
0.958000000477,0.957166666667,0.0001503286331796155,0.04742368450615938
0.945416666349,0.906333333333,1.9014868052947737e-05,0.25343183544953357
0.951666666667,0.917125,0.0004769150044636214,0.21644016691933216
0.936333333492,0.888083333333,0.05157584085364343,0.28232690604522864
0.954666666349,0.922375,6.344620522693015e-05,0.18720583735475108
0.950999999682,0.918229166667,2.1472041623111798e-05,0.20130799021188853
0.942333333015,0.90875,0.022024265831900553,0.22449226147058737
0.959583333174,0.946541666667,3.167486560617167e-05,0.09313665697033974
0.958749999841,0.954479166667,0.004445366421935919,0.04484704909004793
0.956333333492,0.94525,0.004352815009156268,0.08442520724250495
0.960333333492,0.950958333333,0.002749200753354491,0.06280449300608845
0.942333333015,0.900041666667,0.010409464801234137,0.27523845240058825
0.956666666349,0.937041666667,0.005738242327661524,0.10788519074955633
0.950999999682,0.922145833333,1.1267371498633392e-05,0.18858919906792215
0.941500000159,0.909791666667,0.05453760261134616,0.18863071816617627
0.950583333651,0.912208333333,3.426991735792881e-05,0.2403098883349388
0.955333333174,0.938041666667,0.00024514513687460036,0.12404493070357965
0.955583333492,0.9384375,1.2451206196927219e-05,0.11698781094966543
0.944416666667,0.908520833333,0.015672551071410402,0.23111948353153472
0.957166666349,0.949375,0.00537417827091366,0.059660613498247125
0.952666666826,0.924916666667,8.672549068810612e-05,0.18173415612568145
0.950666667144,0.917333333333,0.002375093747276554,0.216574363759049
0.938999999682,0.894916666667,0.04737897004090057,0.25948556096767195
0.943916667144,0.9213125,0.04827294107924648,0.1340577974239751
0.958,0.946020833333,0.003946191779404721,0.0891751779338716
0.959250000477,0.946041666667,2.7834787484040028e-05,0.08844462351173385
0.941833332856,0.914645833333,0.05623099157194564,0.17674224034351432
0.959916666349,0.9476875,0.00015199267435784337,0.08947717909620288
0.950583333651,0.912208333333,0.001549921644683487,0.23596695810827384
